id, googlemap, address, longitude, latitude, pictures
3ca2edda-9e66-48e7-b366-6cb1b54ab7ba, 1, 3232 Central Avenue , 100, 500, 1
acbd1739-f106-46e4-88bb-ae0e5a997cbf, 2, 5436 Wyoming Blvd, 150, 120, 2
8a645314-b7ce-4889-a0ec-dc75197ff31a, 3, 3235 First Avenue , 105, 104, 3
53e80fb4-6007-4267-9f4e-453dc99191f7, 4, 5436 2nd Street , 145, 124, 4
34474b0d-f544-4594-b2ea-a662571be727, 5,  32 Palm Avenue , 176, 156, 5
87d346ca-96a2-481b-b38f-7e2533a7e32e, 6, 54 Lamida Blvd, 198, 145, 6
514dbb4f-e4df-4892-ad00-e3ec17668bb6, 7, 32 Rain Avenue , 200, 300 ,7
079ad37f-41b3-4ffd-9677-cdf02afd12ea, 8, 5454 Paris Blvd, 145, 345 , 8
b816bc33-86a0-47ff-af79-c0dacc7fed87, 9, 67 Roma Avenue , 230, 340 ,9
5e646a03-dbf9-4166-9cfe-046a5391fedd, 10, 54 Florida Blvd, 150, 120, 10
450fc454-d9bf-4389-851b-ae473f9451bc, 11,  3235 10th Avenue , 105, 230, 11
146f05f1-1a92-4ffa-8581-fc90851d5ed1, 12,  100 Faycel Avenue , 146, 124, 12
76b79324-843e-4e19-891b-d83fcafb995b, 13, 322 LA Paloma Avenue , 176, 456, 13
c32275c0-085b-48ac-b188-109a03be1910, 14,  54 ALamida Blvd, 198, 145, 14
25a63c37-8d61-49a0-a371-3e02b8775d0f, 15,  323 Steel Avenue , 233, 278,15
afd38a34-4a1a-4241-9db7-10d97569b39d, 16, 545 Londion Blvd, 144, 45, 16
244a4af1-097a-4828-bb4c-5d6341cc7a86, 17,  332 Brush Avenue , 100, 100, 17
8d18762a-99bf-48aa-a66d-95464d2b1703, 18,  543 Beach Blvd, 450, 120, 18
8ea32753-501d-40a1-babc-9bc1901724d7, 19,  32 Prime Avenue , 105, 104, 19
ac41f562-5ed4-4e1d-8680-4e879511bf7a, 20,  567 11th Street , 145, 124, 20
583ecabe-4c38-4d24-816f-279495ce6b40, 21, 45 Sort Avenue , 176, 156, 21
ebcff9ce-6aca-4419-b090-36ee667b2a49, 22, 54 Lala Blvd, 198, 145, 22
1b26ea43-b945-4e97-8057-11f5cf72cf26, 23, 5 Blake Avenue , 200, 300,23
0180b9b1-3037-4714-9d1e-2c767e60f7fc, 24,  45 Salad Blvd, 145, 345, 24
a4f1b429-0737-4ee1-a2a5-5d9f473a0aac, 25,  450 Crown Blvd, 199, 345, 25
